arm,step,source_sha,created,commit_id,exec_ns,commit_ns,paired_ns,allocated_bytes,logical_bytes,growth_bytes,transfer_ns,exec_cpu_ns,commit_cpu_ns,verification_step_wall_ns,verified_entries,verified_bytes,full157_index,historical_read_exec_ns
v015,1,ca4e1c3a1c61129bd95ee57dd744bc53c2e635bb,True,12d5dcfbfb83b2e056ceb0b34ed2fbabc69ecb0ced1f4a96d780d96a7ec4a6b8ae,152755042,33685917,186440959,700416,700416,630784,322269875,3753875,33591291,177840333,359,1499109,1,123059583
v015,2,2a48b31306ce7dac8d0ae598a78fa7605a193f3d,True,12c8a3cc368341280a49dca867f7f31363939889eea7d08d0f16a573725853a0c4,869840708,131989792,1001830500,4239360,4050944,4169728,375331584,68161959,126800292,779352209,1742,9776685,18,722399708
v015,3,e29db14566644cc651c02b802a2ad22d06479c9f,True,1268ee772d74c05e92f29b5ebf031cbfcaebbd94da05b638e171db318d76cef550,1594632250,227200959,1821833209,7385088,7348224,7315456,543633292,307378542,218112750,1094399459,2644,15073486,36,1036748375
v015,4,89d4643c26e964f5363c0bce38ae82300b86756a,True,12774c6f60dde716cbd2f4dd1ee47950bf6d0e624c7fc9feddd122b2212d928fc7,2370952292,379269667,2750221959,12627968,12480512,12558336,649197417,388396251,354579500,1701578125,4275,22364863,53,1627290792
v015,5,9e6f251a4c0e9a978a11e192e7b9421e82ded984,True,123deee238d013c42e11c010491a96903406c61bfd057235842e48a990873dfe9d,3130723166,499534875,3630258041,18919424,18743296,18849792,690575417,650275167,482290292,2139737500,5880,29109246,70,2058743334
v015,6,7248b5ec8f8769f882f12fd521504fa48e97bcf3,True,1281bb90179d3a42fca0d8f3e11f1787dc4986fad30dfd381bd7ba50682f65a3cc,2833837541,472432375,3306269916,24162304,24006656,24092672,582933125,728788125,459105834,2297118667,6752,36405983,88,2211817625
v015,7,5ba7455091ba046c9b89cf550e0ea4fb63e4e227,True,121732c526cb4209398e7d6cce92d41eca5219667bf086b5768288e145eac08392,4999726625,821521250,5821247875,33599488,32571392,33529856,896506125,1225704416,800700458,2692433041,7656,42587599,105,2607007542
v015,8,37247ea70544de047143bf6d274c4dd48511e79c,True,12d71dba99360f01fb1689720cb3bfeb4aae2087179f239b2558c08a13fd2adf5f,5844958875,917773917,6762732792,41988096,41648128,41918464,1045503500,1343829042,904966916,2993679000,8567,48605608,122,2870474834
v015,9,6770f76fdaf93c5745e5f5581546eab49a11667d,True,12a6376923b6b8ebdcae7455d2ad63afeea336b48d20ec368aa02f62efe490ded0,6760368208,1047684375,7808052583,52473856,52453376,52404224,1100914042,1517155125,1020587542,3683987667,10061,57441764,140,3554052875
v015,10,b0a7d2ce3b4c19d7452e364b2d7acbfa87e707ed,True,12adac5924f623d33be4ef909dfd6ae7469aa2a39116061117bf01baa845baaf4d,7510265708,1275150291,8785415999,66105344,65572864,66035712,1142722792,1948779541,1226561667,4126203667,10924,65020822,157,3990291042
chain-1,1,ca4e1c3a1c61129bd95ee57dd744bc53c2e635bb,True,129cd5190bb7917ed2719279e3ef575a90303860436f9b993293a6100f76473ba4,181988000,25653625,207641625,700416,700416,630784,213061709,2991208,23812666,173742459,359,1499109,1,114714042
chain-1,2,2a48b31306ce7dac8d0ae598a78fa7605a193f3d,True,12f5904f0a9ef378cbe2fcf4193bbd2bc315cf8e7da4771faed65324d4b7ce0021,807279209,131803667,939082876,4239360,4055040,4169728,373864291,56992999,123580792,577619834,1742,9776685,18,519166250
chain-1,3,e29db14566644cc651c02b802a2ad22d06479c9f,True,126992393f9ac433cda3fe0ade88ec9b7216951c640a4af9bd5afbfc6d15471a6a,1429347750,231856917,1661204667,7385088,7315456,7315456,481806375,261706208,220891709,967807000,2644,15073486,36,901421625
chain-1,4,89d4643c26e964f5363c0bce38ae82300b86756a,True,124eaa5df4f38a605bdcf2b9bd48d1bbb0f590af9701f0944866245666174ad753,2245475291,390759833,2636235124,12627968,12111872,12558336,584368250,411124542,369389500,1478791167,4275,22364863,53,1404284959
chain-1,5,9e6f251a4c0e9a978a11e192e7b9421e82ded984,True,122d9020bef616d16d651c4eb7774fd21efaa6736f2c86a688e6ef9468d2ec1caa,3011629500,510245416,3521874916,17870848,17625088,17801216,730704083,654717083,496717167,1890056292,5880,29109246,70,1818653875
chain-1,6,7248b5ec8f8769f882f12fd521504fa48e97bcf3,True,12465423dae739599bc17fae607f11475435cf2eec34dc4b53528964c4580ab7b4,2615311583,492841708,3108153291,22065152,21958656,21995520,694797709,697278458,473461916,2261581500,6752,36405983,88,2181541042
chain-1,7,5ba7455091ba046c9b89cf550e0ea4fb63e4e227,True,1256ea65b622e3860e8e93ef2884197ea505b18bd7b52f056a2c607552390e3728,4721107083,818866459,5539973542,29405184,29097984,29335552,841781000,1199586667,812683458,2582095916,7656,42587599,105,2507632916
chain-1,8,37247ea70544de047143bf6d274c4dd48511e79c,True,12725d0dbe8565e7b1a22bf348af6ea5f70eceda49040b675820bfb960d85be01d,5642521625,952917250,6595438875,36745216,36540416,36675584,1046947542,1552525418,931441083,2970966000,8567,48605608,122,2889833167
chain-1,9,6770f76fdaf93c5745e5f5581546eab49a11667d,True,12340a2fbb1f52496016134a2cef17948a4a5ac8302cd063855b494597b3f4579a,6150950041,1124771708,7275721749,46182400,45748224,46112768,1148757625,1567612209,1120410875,3615455416,10061,57441764,140,3484734375
chain-1,10,b0a7d2ce3b4c19d7452e364b2d7acbfa87e707ed,True,12843001649725954bf01b593932a20b789a959fc6d4615472518ae65e93be5233,7241390791,1274562166,8515952957,56668160,55930880,56598528,1105824166,2097556333,1270540708,3924404708,10924,65020822,157,3798716042
